Name,Type,RAB2000,DEB2000,Source,Const,l_size,size,mag,n_mag,Desc
 2304, OC,06 55.0,+18 01,s,Gem, ,  5.0,10.0,p,"Cl, pL, Ri, mC, st vS"
 2309, OC,06 56.2,-07 12,s,Mon, ,  3.0,11.0,p,"Cl, pL, pRi, mC, st 13"
 2311, OC,06 57.8,-04 35,s,Mon, ,  7.0,10.0,p,"Cl, lC, not Ri"
 2318, OC,06 59.5,-13 42,F,CMa, ,     ,    , ,"Cl, L, sc st 8...9"
 2323, OC,07 03.2,-08 20,s,Mon, , 16.0, 5.9, ,"! Cl, vL, Ri, pC, E, st 12...16; = M50"
 2324, OC,07 04.2,+01 03,s,Mon, ,  8.0, 8.4, ,"Cl, L, Ri, cC, st 12...16"
 2335, OC,07 06.6,-10 05,s,Mon, , 12.0, 7.2, ,"Cl, L, lC"
 2331, OC,07 07.2,+27 21,s,Gem, , 18.0, 9.0,p,"Cl, L, vlC, S Cl inv"
 2343, OC,07 08.3,-10 39,s,Mon, ,  7.0, 6.7, ,"Cl, cL, P, lC"
 2345, OC,07 08.3,-13 10,s,CMa, , 12.0, 7.7, ,"Cl, pL, pRi, gbM, st 10...14"
 2354, OC,07 14.3,-25 44,s,CMa, , 20.0, 6.5, ,"Cl, cRi, lC"
 2353, OC,07 14.6,-10 18,s,Mon, , 20.0, 7.1, ,"Cl, L, lC, one vB*"
 2355, OC,07 16.9,+13 47,s,Gem, ,  9.0,10.0,p,"Cl, pS, pRi, mC, st 15...16"
 2360, OC,07 17.8,-15 37,s,CMa, , 13.0, 7.2, ,"Cl, vL, Ri, pC, st 9...12"
 2367, OC,07 20.1,-21 56,s,CMa, ,  4.0, 7.9, ,"Cl, S, P, lC"
 2364, OC,07 20.8,-07 34,F,Mon, ,     ,    , ,"Cl, pC, st pL, bifid"
 2368, OC,07 21.0,-10 23,s,Mon, ,  5.0,12.0,p,"Cl, S, pRi, st 15"
 2374, OC,07 24.0,-13 16,s,CMa, , 19.0, 8.0, ,"Cl, vL, pRi, lC, st L"
 2383, OC,07 24.8,-20 56,s,CMa, ,  6.0, 8.4, ,"Cl, pS, pmC, st 12"
 2384, OC,07 25.1,-21 02,s,CMa, ,  3.0, 7.4, ,"Cl, lC, bifid, **"
 2395, OC,07 27.1,+13 35,s,Gem, , 12.0, 8.0, ,"Cl, pRi, C"
 2396, OC,07 28.1,-11 44,s,Pup, , 10.0, 7.0,p,"Cl, vL, vlC"
 2401, OC,07 29.4,-13 58,s,Pup, ,  2.0,13.0,p,"Cl, S, cRi, cC, st vS"
 2414, OC,07 33.3,-15 27,s,Pup, ,  4.0, 7.9, ,"Cl, P, lC, st 9..."
 2421, OC,07 36.3,-20 37,s,Pup, , 10.0, 8.3, ,"Cl, L, cRi, st 11...13"
 2422, OC,07 36.6,-14 30,s,Pup, , 30.0, 4.4, ,"Cl, B, vL, pRi, st L and S; = M47"
 2423, OC,07 37.1,-13 52,s,Pup, , 19.0, 6.7, ,"Cl, vL, Ri, pC, st vS"
 2425, OC,07 38.3,-14 52,s,Pup, ,  3.0,    , ,"Cl, P, S, st vS"
 2420, OC,07 38.5,+21 34,s,Gem, , 10.0, 8.3, ,"Cl, cL, Ri, C, st 11...18"
 2439, OC,07 40.8,-31 39,s,Pup, , 10.0, 6.9, ,"Cl, B, pRi, pL, lC,  st 9, 12...14"
 2432, OC,07 40.9,-19 05,s,Pup, ,  8.0,10.0,p,"Cl, pL, pC, E 0deg , st L and S"
